"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6665","Signup To Application 0002","chromium","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","16308","Signup To Application 0001","webkit","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","14753","Signup To Application 0002","webkit","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","9347","Signup To Application","chromium","2026-04-12","passed","2026-04-12","","signupToApplication.spec.js","",""
"","18334","Create New Course","webkit","2026-04-12","passed","2026-04-12","Tests relating to Create New Course","createNewCourse.spec.js","",""
"","4585","login To Application Using Valid Credentials","chromium","2026-04-12","passed","2026-04-12","","loginToApplication.spec.js","",""
"","9259","Signup To Application 0001","chromium","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","15914","Signup To Application","webkit","2026-04-12","passed","2026-04-12","","signupToApplication.spec.js","",""
"","4551","Signup To Application 0003","chromium","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","7392","Signup To Application 0003","firefox","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","19239","Signup To Application 0001","firefox","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","13373","login To Application Using Valid Credentials","firefox","2026-04-12","passed","2026-04-12","","loginToApplication.spec.js","",""
"","9292","Signup To Application 0003","webkit","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","7745","Signup To Application 0002","firefox","2026-04-12","passed","2026-04-12","Tests relating to Signup To Application","signupToApplicationWithFixtureTry.spec.js","",""
"","16123","Signup To Application","firefox","2026-04-12","passed","2026-04-12","","signupToApplication.spec.js","",""
"","18029","Create New Course","firefox","2026-04-12","passed","2026-04-12","Tests relating to Create New Course","createNewCourse.spec.js","",""
"","5257","login To Application Using Valid Credentials","webkit","2026-04-12","passed","2026-04-12","","loginToApplication.spec.js","",""
"","10321","Create New Course","chromium","2026-04-12","passed","2026-04-12","Tests relating to Create New Course","createNewCourse.spec.js","",""
